Main Voice,Main Volume,Main Octave,Main Reverb Level,Main Chorus Level,Dual Voice,Dual Volume,Dual Octave,Dual Reverb Level,Dual Chorus Level
317,95,0,28,0,54,70,0,32,0
318,104,0,28,0,54,70,0,32,0
319,104,0,28,0,54,70,0,32,0
320,104,0,28,0,54,70,0,32,0
321,104,0,28,0,54,70,0,32,0
322,104,0,28,0,54,70,0,32,0
323,104,0,28,0,54,70,0,32,0
324,65,0,28,0,54,70,0,32,0
325,90,0,28,0,54,70,0,32,0
326,90,0,28,0,54,70,0,32,0
327,90,0,28,0,54,70,0,32,0
328,90,0,28,0,54,70,0,32,0
329,95,0,28,0,54,70,0,32,0
330,104,0,28,0,54,70,0,32,0
331,104,0,28,0,54,70,0,32,0
332,104,0,28,0,54,70,0,32,0
333,75,0,28,0,54,70,0,32,0
334,85,0,28,0,54,70,0,32,0
335,104,0,28,0,54,70,0,32,0
336,104,0,28,0,54,70,0,32,0
337,75,0,28,0,54,70,0,32,0
338,85,0,28,0,54,70,0,32,0
339,104,0,28,0,54,70,0,32,0
340,104,0,28,0,54,70,0,32,0
341,85,0,28,0,54,70,0,32,0
342,75,0,28,0,54,70,0,32,0
343,104,0,28,0,54,70,0,32,0
344,104,0,28,0,54,70,0,32,0
345,104,0,28,0,54,70,0,32,0
346,104,0,28,0,54,70,0,32,0
347,70,0,28,0,54,70,0,32,0
348,85,0,28,0,54,70,0,32,0
349,127,0,28,0,54,70,0,32,0
350,127,0,28,0,54,70,0,32,0
351,70,0,28,0,54,70,0,32,0
352,104,0,28,0,54,70,0,32,0
353,104,0,28,0,54,70,0,32,0
354,104,0,28,0,54,70,0,32,0
355,90,0,28,0,54,70,0,32,0
356,104,0,28,0,54,70,0,32,0
357,104,0,28,0,54,70,0,32,0
358,70,0,28,0,54,70,0,32,0
359,74,0,28,0,54,70,0,32,0
360,104,0,28,0,54,70,0,32,0
361,70,0,28,0,54,70,0,32,0
362,104,0,28,0,54,70,0,32,0
363,90,0,28,0,54,70,0,32,0
364,104,0,28,0,54,70,0,32,0
365,104,0,28,0,54,70,0,32,0
366,75,0,28,0,54,70,0,32,0
367,104,0,28,0,54,70,0,32,0
368,104,0,28,0,54,70,0,32,0
369,104,0,28,0,54,70,0,32,0
370,80,0,28,0,54,70,0,32,0
371,104,0,28,0,54,70,0,32,0
372,104,0,28,0,54,70,0,32,0
